time,tavg,tmin,tmax
2012-01-01,19.9,15.7,25.0
2012-01-02,19.8,15.2,24.1
2012-01-03,19.6,15.9,25.0
2012-01-04,18.0,16.0,22.0
2012-01-05,17.9,14.4,22.4
2012-01-06,18.1,14.0,22.9
2012-01-07,18.4,14.0,23.0
2012-01-08,20.5,16.9,25.5
2012-01-09,21.1,18.0,25.3
2012-01-10,21.3,18.6,24.0
2012-01-11,20.3,18.0,23.9
2012-01-12,22.4,18.5,28.0
2012-01-13,21.2,17.5,26.4
2012-01-14,19.4,17.0,23.4
2012-01-15,17.4,14.1,21.2
2012-01-16,16.8,13.0,20.7
2012-01-17,18.0,13.2,22.4
2012-01-18,18.9,10.2,24.3
2012-01-19,18.7,14.3,24.0
2012-01-20,18.5,14.4,21.7
2012-01-21,14.7,11.0,17.6
2012-01-22,12.5,9.4,16.0
2012-01-23,13.8,8.6,18.1
2012-01-24,15.3,11.7,19.6
2012-01-25,15.3,11.3,19.7
2012-01-26,16.1,11.6,20.0
2012-01-27,17.1,11.7,22.6
2012-01-28,17.8,12.9,24.2
2012-01-29,18.1,14.0,23.6
2012-01-30,17.4,14.7,20.8
2012-01-31,18.7,14.0,22.1
2012-02-01,21.4,18.5,24.1
2012-02-02,19.3,16.0,23.0
2012-02-03,16.2,13.0,19.5
2012-02-04,15.9,11.8,21.1
2012-02-05,16.7,13.6,20.1
2012-02-06,17.9,14.2,21.0
2012-02-07,18.3,14.6,22.1
2012-02-08,18.5,15.2,22.0
2012-02-09,19.2,15.7,23.2
2012-02-10,21.3,16.7,26.1
2012-02-11,19.9,16.9,24.5
2012-02-12,17.9,15.0,21.4
2012-02-13,17.8,14.7,22.0
2012-02-14,18.4,14.8,22.4
2012-02-15,19.3,15.8,23.5
2012-02-16,21.7,18.0,25.1
2012-02-17,24.1,21.0,30.0
2012-02-18,21.8,17.8,26.1
2012-02-19,20.6,16.2,24.7
2012-02-20,17.6,16.0,21.2
2012-02-21,16.2,14.0,19.6
2012-02-22,16.3,12.7,21.2
2012-02-23,16.3,12.0,20.4
2012-02-24,16.9,13.2,20.4
2012-02-25,19.9,15.6,22.0
2012-02-26,18.0,12.2,21.3
2012-02-27,17.8,13.7,23.1
2012-02-28,17.9,13.5,23.0
2012-02-29,20.2,14.9,28.5
2012-03-01,25.7,17.9,34.3
2012-03-02,21.1,18.5,25.0
2012-03-03,18.0,13.5,21.9
2012-03-04,16.2,13.5,21.4
2012-03-05,17.9,12.8,23.6
2012-03-06,17.2,14.0,22.1
2012-03-07,18.8,13.6,26.0
2012-03-08,20.7,14.7,26.4
2012-03-09,22.6,19.0,28.5
2012-03-10,21.2,18.0,26.4
2012-03-11,20.8,16.9,26.1
2012-03-12,20.4,17.0,26.4
2012-03-13,20.6,16.3,26.1
2012-03-14,22.4,17.9,29.1
2012-03-15,26.1,18.1,35.3
2012-03-16,22.6,17.2,29.2
2012-03-17,22.1,17.5,28.2
2012-03-18,16.3,14.0,19.3
2012-03-19,17.6,13.7,22.5
2012-03-20,19.3,15.6,24.2
2012-03-21,20.5,17.6,26.2
2012-03-22,21.0,17.8,24.2
2012-03-23,22.1,18.4,26.4
2012-03-24,22.7,20.4,26.6
2012-03-25,23.3,19.6,22.6
2012-03-26,19.6,15.7,22.6
2012-03-27,21.6,18.8,24.0
2012-03-28,26.1,20.1,37.8
2012-03-29,27.4,22.3,33.0
2012-03-30,27.8,24.0,32.3
2012-03-31,24.1,22.0,28.3
2012-04-01,22.7,19.5,27.0
2012-04-02,24.1,20.0,30.2
2012-04-03,26.3,22.8,31.5
2012-04-04,27.1,23.8,32.1
2012-04-05,27.1,22.5,31.6
2012-04-06,27.0,23.4,32.1
2012-04-07,28.9,24.7,32.6
2012-04-08,27.3,24.0,32.4
2012-04-09,27.3,22.5,31.2
2012-04-10,28.0,24.8,30.7
2012-04-11,28.8,23.5,34.1
2012-04-12,26.1,22.2,30.7
2012-04-13,24.3,20.9,29.3
2012-04-14,24.5,21.8,28.5
2012-04-15,25.6,20.5,29.0
2012-04-16,26.7,21.5,31.5
2012-04-17,29.4,24.5,35.6
2012-04-18,27.7,24.0,32.0
2012-04-19,25.9,23.0,31.3
2012-04-20,25.3,21.8,29.5
2012-04-21,26.9,23.0,31.2
2012-04-22,27.4,23.0,30.9
2012-04-23,28.3,24.0,31.7
2012-04-24,28.9,25.5,33.4
2012-04-25,31.6,25.7,37.0
2012-04-26,31.8,25.4,37.3
2012-04-27,30.4,24.6,35.6
2012-04-28,32.4,26.3,40.0
2012-04-29,32.6,26.4,38.1
2012-04-30,32.6,27.0,39.3
2012-05-01,32.8,28.1,38.0
