time,tavg,tmin,tmax
2012-01-01,23.1,17.0,27.6
2012-01-02,24.4,18.7,28.5
2012-01-03,24.9,21.1,29.0
2012-01-04,24.8,20.8,34.1
2012-01-05,21.8,20.4,26.1
2012-01-06,19.4,18.5,21.9
2012-01-07,23.2,15.4,26.5
2012-01-08,23.6,21.1,28.0
2012-01-09,22.6,20.8,26.2
2012-01-10,24.1,19.0,28.6
2012-01-11,20.7,19.8,29.3
2012-01-12,18.5,13.9,21.3
2012-01-13,22.2,14.4,27.1
2012-01-14,19.9,17.8,22.7
2012-01-15,21.2,17.4,24.2
2012-01-16,22.1,17.9,24.9
2012-01-17,23.6,19.5,26.9
2012-01-18,24.2,20.6,29.3
2012-01-19,22.8,21.3,24.9
2012-01-20,23.5,20.9,26.4
2012-01-21,22.5,22.2,25.5
2012-01-22,22.7,20.9,26.4
2012-01-23,22.2,19.9,25.6
2012-01-24,22.7,19.5,24.3
2012-01-25,22.1,21.3,26.0
2012-01-26,23.8,20.8,27.7
2012-01-27,23.1,21.1,25.9
2012-01-28,24.1,20.8,27.0
2012-01-29,25.2,20.8,28.9
2012-01-30,29.2,22.0,34.6
2012-01-31,21.3,24.8,27.4
2012-02-01,20.0,17.8,22.0
2012-02-02,17.8,17.8,20.2
2012-02-03,19.2,16.7,21.2
2012-02-04,21.7,17.3,25.3
2012-02-05,24.2,18.5,29.1
2012-02-06,20.8,20.6,22.9
2012-02-07,21.6,19.2,24.4
2012-02-08,21.1,19.3,23.7
2012-02-09,22.5,19.4,26.4
2012-02-10,22.0,19.6,27.0
2012-02-11,20.0,19.3,24.3
2012-02-12,21.5,16.5,25.7
2012-02-13,21.9,18.5,25.6
2012-02-14,21.7,20.0,25.1
2012-02-15,23.0,19.6,25.7
2012-02-16,23.8,19.9,28.4
2012-02-17,23.2,19.7,28.7
2012-02-18,22.2,19.1,25.0
2012-02-19,23.3,19.9,28.7
2012-02-20,22.3,19.5,25.3
2012-02-21,21.2,20.1,23.7
2012-02-22,21.5,17.3,24.0
2012-02-23,24.4,18.3,29.7
2012-02-24,24.4,20.0,29.3
2012-02-25,24.8,20.1,28.6
2012-02-26,24.8,22.5,28.6
2012-02-27,26.3,22.5,30.3
2012-02-28,24.9,23.5,34.3
